transaction_id,date,amount,transaction_count,average_transaction_value,customer_tenure_days,credit_score,payment_frequency,industry_sector,geographical_region,amount_volatility,payment_delay_days,compliance_score,risk_label,month,day_of_week,is_month_end
0,2023-11-09 01:06:48.311844000,89.7218341969382,2,65.64466012495829,50,770.70678209981,monthly,retail,South,2.085786329565443,3.9136556077170264,71.71499046573396,1,11,3,0
1,2023-11-09 01:59:22.227235539,47.547808463273654,2,39.55034351026916,3372,627.2539828759045,weekly,services,North,1.1231429733453195,3.8977141609649624,67.39756705710586,1,11,3,0
2,2023-11-09 02:51:56.142627078,104.34352054383469,7,11.287577109117263,744,713.6127763600692,weekly,manufacturing,North,0.41002660194441265,5.360387447758295,87.07664471782299,0,11,3,0
3,2023-11-09 03:44:30.058018617,250.39254249344668,5,10.76011247683678,3199,647.9677158463562,monthly,retail,North,-0.514220840590117,9.167773880965056,98.47651324783288,0,11,3,0
4,2023-11-09 04:37:03.973410156,43.200264817960765,8,27.142815125331616,1911,724.5849194507435,quarterly,manufacturing,North,-0.9020958108112132,1.5512910774934,82.47728754267325,0,11,3,0
5,2023-11-09 05:29:37.888801695,43.200974075974194,7,19.242836958419936,1537,738.3443211252894,weekly,retail,North,0.9793828965113379,24.999195949172993,88.71711481337734,1,11,3,0
6,2023-11-09 06:22:11.804193234,264.8630276342351,5,56.289143795295935,291,751.1942133876439,weekly,tech,West,1.815706392763898,2.288244267456061,86.85504913488873,1,11,3,0
7,2023-11-09 07:14:45.719584774,117.61713482594139,4,48.3721232047432,1348,650.8215721866818,weekly,manufacturing,West,0.11885726750471468,4.1671094319496085,86.10293097608243,0,11,3,0
8,2023-11-09 08:07:19.634976313,34.141908366630645,3,43.63273414873299,3368,741.2142909109351,weekly,manufacturing,North,-0.7089500580116422,9.217599643005432,100.0,0,11,3,0
9,2023-11-09 08:59:53.550367852,93.93095993001131,9,20.96061463093575,2482,666.7417172260004,weekly,manufacturing,East,-0.9146601347224967,3.18708066263822,81.02674410683466,0,11,3,0
10,2023-11-09 09:52:27.465759391,34.349322917306985,4,37.2625839463047,1736,721.1967454173899,monthly,manufacturing,East,-0.7194583825767313,0.9056212954274262,100.0,0,11,3,0
11,2023-11-09 10:45:01.381150930,34.26999693431648,8,43.25827460234417,1602,664.9753376969653,weekly,services,East,1.9716393576931481,41.226449032490954,97.55221967566911,1,11,3,0
12,2023-11-09 11:37:35.296542469,69.54418260812884,4,25.163526776857505,1548,703.9568168855095,quarterly,tech,North,0.05950448974367689,8.748082566783014,72.74337033738632,0,11,3,0
13,2023-11-09 12:30:09.211934009,8.058438113871315,2,27.339852133748252,1139,712.099275962073,quarterly,retail,South,-0.7349652968235334,0.7217420289005714,92.17442890983006,0,11,3,0
14,2023-11-09 13:22:43.127325548,9.72871836405847,2,42.21114141996397,200,777.7842171014026,weekly,manufacturing,West,-0.3812800691615851,5.057495409701486,76.15795195699384,0,11,3,0
